03-30-18,player_name,03-29-18,03-28-18,03-27-18,03-26-18,03-25-18,03-24-18,03-23-18
3193089,JElan Kun,3191696.0,3191696.0,3190067.0,3187363.0,3181150.0,3175690.0,
3177053,Primolandia,3172362.0,3172341.0,3171581.0,3170639.0,3170036.0,3167360.0,3162985.0
3140275,DarthGul,3139095.0,3135252.0,3134824.0,3134417.0,3128558.0,3128381.0,3125805.0
2954935,Tang Ren,2951625.0,2951625.0,2951427.0,2947803.0,2941119.0,2940091.0,2937433.0
2868605,Wombanger,2865876.0,2862710.0,2862171.0,2859423.0,2858925.0,2857004.0,2852183.0
2854071,d3d,2853873.0,2851354.0,2850733.0,2846633.0,2845172.0,2845022.0,2844560.0
2886232,rugg,2885594.0,2877175.0,2875905.0,2874848.0,2874848.0,2871384.0,2870527.0
2867048,DarthFadeh2o,2864742.0,2855856.0,2852208.0,2852208.0,2851951.0,2851951.0,2848691.0
2765423,Redirkulous041,2759906.0,2753679.0,2750865.0,2749794.0,2746368.0,2737030.0,2736002.0
2481575,Judomonkey line judomonkey,2475326.0,2475326.0,2471982.0,2464589.0,2460600.0,2458407.0,2448390.0
2685270,Vaexqua,2675704.0,2672580.0,2671928.0,2667933.0,2667933.0,2665306.0,2661453.0
2559356,Ambrosia2112,2555324.0,2554629.0,2554629.0,2548745.0,2542866.0,2541540.0,2519709.0
2571550,Moth Tio,2562327.0,2559637.0,2558536.0,2554264.0,2551515.0,2549192.0,2547267.0
2672564,Kodos,2664888.0,2661755.0,2661755.0,2661755.0,2661395.0,2657124.0,2654576.0
2653020,Kalesa Driver,2649064.0,2648638.0,2648638.0,2648638.0,2648638.0,2647769.0,2647769.0
2562127,Anda Paroo,2562127.0,2559403.0,2558485.0,2557108.0,2551094.0,2550917.0,2550917.0
2465611,Moscow Freck,2464801.0,2451647.0,2440450.0,2440112.0,2431833.0,2429186.0,2424303.0
2517214,FETTFAN13,2512707.0,2501072.0,2500409.0,2499457.0,2499457.0,2496864.0,2496864.0
2473352,nsb683,2461765.0,2459429.0,2455451.0,2455253.0,2454857.0,2448839.0,2448662.0
2484507,EvilTroll,2482512.0,2480892.0,2476847.0,2474202.0,2466947.0,2462683.0,2460286.0
2553799,Trogdor,2553799.0,2544836.0,2537658.0,2537658.0,2537460.0,2535860.0,2533394.0
2453683,Jackia,2444476.0,2443607.0,2439825.0,2436034.0,2436034.0,2426291.0,2422515.0
2686796,Sum ting wong,2686796.0,2682704.0,2675012.0,2675012.0,2675012.0,2665742.0,2658230.0
2454683,Sitho,2454485.0,2428206.0,2427178.0,2417057.0,2417057.0,2416384.0,2413868.0
2343634,Skrizle McDizle,2343634.0,2341805.0,2331472.0,2330967.0,2330967.0,2330967.0,2329710.0
2385077,CountDudeku,2375649.0,2373682.0,2369241.0,2364659.0,2359007.0,2355264.0,2332744.0
2355271,Bharryn Wayrex,2341558.0,2338232.0,2337804.0,2330870.0,2328421.0,2327584.0,2325055.0
2332852,Skykler,2326822.0,2323369.0,2313916.0,2308466.0,2308289.0,2308112.0,2303937.0
2398974,Itchen Chichen,2394435.0,2394344.0,2394167.0,2389061.0,2387848.0,2386476.0,2377455.0
2377009,Aggincourt,2377009.0,2371165.0,2371165.0,2370967.0,2369446.0,2368471.0,2368471.0
2372317,JubeiNabeshin8860 discord id,2370145.0,2365432.0,2364740.0,2360481.0,2360481.0,2354586.0,2350641.0
2225135,KAL EL JONES,2216125.0,2215381.0,2214226.0,2204166.0,2204166.0,2174978.0,2170977.0
2117743,Naxae,2116405.0,2116405.0,2113999.0,2109989.0,2109791.0,2107710.0,2107710.0
2400578,Togashi Hitomi,2400380.0,2385977.0,2382178.0,2379030.0,2379030.0,2372856.0,2370872.0
2227555,TheDude182,2224748.0,2223115.0,2218426.0,2215518.0,2214714.0,2208350.0,2205221.0
2317490,Atr3idi,2307270.0,2304411.0,2302350.0,2296020.0,2293198.0,2290037.0,2283364.0
2161920,MasterPanda,2161413.0,2146268.0,2143962.0,2143962.0,2140408.0,2140408.0,2135253.0
2242307,Hyperion,2227343.0,2227166.0,2222469.0,2213163.0,2213163.0,2203793.0,2192858.0
2207167,Haven,2204065.0,2202236.0,2201219.0,2199778.0,2187242.0,2186409.0,2186409.0
2134348,Capt Daveman,2134348.0,2134348.0,2133841.0,2130137.0,2130137.0,2130137.0,2118671.0
2256210,B3ASTLING,2256012.0,2256012.0,2255596.0,2250702.0,2240729.0,2240729.0,2240729.0
1985879,NightStorm,1985282.0,1985282.0,1978411.0,1972486.0,1972486.0,1967990.0,1965447.0
1956696,Matt Son,1947877.0,1947050.0,1945974.0,1945974.0,1941986.0,1940322.0,1927054.0
2146723,Captcrunch,2144218.0,2138962.0,2137322.0,2125942.0,2125942.0,2118950.0,2100752.0
1823573,MaverickRaven,1822159.0,1821484.0,1821484.0,1820918.0,1820918.0,1819912.0,1814776.0
1845702,Juntari,1840539.0,1837283.0,1827443.0,1823197.0,1823197.0,1816768.0,1815667.0
1736969,Chop,1728672.0,1724487.0,1724345.0,1721230.0,1718658.0,1716933.0,1712785.0
1598172,Dash O'Pepper,1594559.0,1593374.0,1591941.0,1583564.0,1583564.0,1582177.0,1579013.0
1802045,BigSmell222,1793824.0,1793488.0,1790211.0,1781742.0,1773949.0,1770640.0,1760767.0
595275,Shopkins,585970.0,585800.0,556901.0,,,,
,Panakin Skysprinter,,,,,2510232.0,2510232.0,2508057.0
,Zippz,,,,,,,2013733.0
,Skykleer,,,,,,,425815.0
